id,name_of_site,electricity_input_requirement,cost_of_h2_production,lat,lon,avg_prox_road_param,min_production_volume,max_production_volume
01DATA1,Armoy,,5.75,55.13087850,-6.32707520,0.008,,
01DATA2,Ballintoy,,5.75,55.23636000,-6.35914000,0.007,,
01DATA3,Ballybogy,,5.75,55.12841560,-6.55845310,0.008,,
01DATA4,Ballyvoy,,5.75,55.19956000,-6.18648000,0.007,,
01DATA5,Clough,,5.75,54.96620000,-6.28920000,0.010,,
01DATA6,Dervock,,5.75,55.12659000,-6.47092990,0.008,,
01DATA8,Grange,,5.75,54.79470000,-6.39850000,0.012,,
01DATA9,Larne ,,5.75,54.85780030,-5.82362240,0.011,,
01DATA10,Moorfields ,,5.75,54.82720000,-6.16410000,0.011,,
01DATA11,Mullans ,,5.75,55.00240000,-6.50220000,0.009,,
01DATA12,Ballymena,,5.75,54.86529350,-6.28022130,0.011,,
01DATA13,Larne,,5.75,54.85780030,-5.82362240,0.011,,
01DATA14,Lisburn,,5.75,54.51624600,-6.05801060,0.017,,
01DATA15,Ballygowan ,,5.75,54.50408180,-5.79462790,0.014,,
01DATA16,Ballywalter,,5.75,54.54273010,-5.48437000,0.010,,
01DATA17,Carrowdore ,,5.75,54.57487010,-5.55665000,0.011,,
01DATA18,Cranfield,,5.75,54.02990000,-6.07120000,0.011,,
01DATA19,Drumaness ,,5.75,54.36831000,-5.85249000,0.013,,
01DATA20,Dundrum ,,5.75,54.25830000,-5.84230000,0.013,,
01DATA21,Killinchy ,,5.75,54.47265420,-5.67549730,0.012,,
01DATA22,Lurganare ,,5.75,54.22862900,-6.35310600,0.016,,
01DATA23,Loughries ,,5.75,54.58014500,-5.64617800,0.012,,
01DATA24,Moneyreagh ,,5.75,54.53124750,-5.83041450,0.015,,
01DATA25,Moneyslane ,,5.75,54.28805010,-6.08730000,0.014,,
01DATA26,Poyntzspass ,,5.75,54.29324340,-6.37513930,0.017,,
01DATA27,Waringstown ,,5.75,54.43521000,-6.30026990,0.017,,
01DATA28,Belfast,,5.75,54.62140711,-5.91018526,0.016,,
01DATA29,Bangor,,5.75,54.65420000,-5.67310000,0.012,,
01DATA30,Newtownards,,5.75,54.59137870,-5.69317030,0.012,,
01DATA31,Saintfield,,5.75,54.46012310,-5.83609990,0.014,,
01DATA32,Killinchy,,5.75,54.47265420,-5.67549730,0.012,,
01DATA33,Moneyreagh,,5.75,54.53124750,-5.83041450,0.015,,
01DATA34,Newry,,5.75,54.17510240,-6.34023000,0.015,,
01DATA35,Belleek,,5.75,54.48010000,-8.09150000,0.007,,
01DATA36,Ederney,,5.75,54.53256000,-7.65856000,0.009,,
01DATA37,Garrison,,5.75,54.41620000,-8.09030000,0.007,,
01DATA38,Lisnaskea,,5.75,54.25289350,-7.44286970,0.010,,
01DATA39,Aughnacloy,,5.75,54.41336420,-6.97465220,0.013,,
01DATA40,Ballygawley,,5.75,54.46275000,-7.02818990,0.013,,
01DATA41,Cabragh,,5.75,54.49023000,-6.91363990,0.013,,
01DATA42,Clabby ,,5.75,54.40167990,-7.37059990,0.010,,
01DATA43,Clogher ,,5.75,54.41430010,-7.16452010,0.012,,
01DATA44,Derrycrin ,,5.75,54.65457100,-6.56354200,0.013,,
01DATA45,Donemana ,,5.75,54.87362890,-7.31322070,0.008,,
01DATA46,Drumquin ,,5.75,54.61526180,-7.48889040,0.009,,
01DATA47,Dungannon ,,5.75,54.50827250,-6.76693520,0.015,,
01DATA48,Eglish,,5.75,54.45152000,-6.79442000,0.014,,
01DATA49,Fivemiletown ,,5.75,54.37752930,-7.31759510,0.011,,
01DATA50,Killygonlan ,,5.75,54.60525860,-6.54610340,0.013,,
01DATA51,Lough Macrory ,,5.75,54.62612180,-7.11007470,0.011,,
01DATA52,Mountfield ,,5.75,54.64500000,-7.16440000,0.010,,
01DATA53,Moy ,,5.75,54.44660000,-6.69100000,0.015,,
01DATA54,Seskinore ,,5.75,54.51549000,-7.25716000,0.011,,
01DATA55,Aghanloo ,,5.75,55.10000000,-6.93333300,0.008,,
01DATA56,Ballykelly ,,5.75,55.04432000,-7.02036000,0.008,,
01DATA57,Ballyronan ,,5.75,54.70777330,-6.53233230,0.013,,
01DATA58,Dernaflaw ,,5.75,54.93279550,-6.97273860,0.009,,
01DATA59,Kilrea ,,5.75,54.95158900,-6.55557970,0.010,,
01DATA60,Limavady,,5.75,55.04545630,-6.93367580,0.008,,
01DATA61,Coleraine,,5.75,55.13258020,-6.66461030,0.008,,
01DATA62,Blackwatertown,,5.75,54.41293010,-6.70276010,0.015,,
01DATA63,Markethill,,5.75,54.29696350,-6.52173830,0.016,,
01DATA64,Mountnorris,,5.75,54.25264000,-6.47522000,0.015,,
01DATA65,Robinsonstown,,5.75,54.48865190,-6.55090090,0.016,,
01DATA66,Redford,,5.75,54.90630000,-6.33950000,0.010,,
